No;Kategori;Instansi/Lokasi;Nomor Telepon
1;SAR DAN POSKO BANJIR;Badan SAR Nasional;115 / 352-1111
2;SAR DAN POSKO BANJIR;Badan SAR Jakarta;550-1111
3;SAR DAN POSKO BANJIR;Posko SATKORLAK & SATLAK BANJIR;382-2212 / 081-192-0203
4;SAR DAN POSKO BANJIR;Posko SATKORLAK & SATLAK BANJIR;382-3113 / 350-0000
5;SAR DAN POSKO BANJIR;Propinsi DKI JAKARTA;439-30152 / 439-34751
6;SAR DAN POSKO BANJIR;Posko Banjir Jakarta Utara;582-1765 / 582-1725
7;SAR DAN POSKO BANJIR;Posko Banjir Jakarta Barat;727-86646 / 727-86657
8;SAR DAN POSKO BANJIR;Posko Banjir Jakarta Selatan;487-02443
9;SAR DAN POSKO BANJIR;Posko Banjir Jakarta Timur;384-3066
10;SAR DAN POSKO BANJIR;Posko Banjir Jakarta Pusat;570-8037 / 0812-1111-911
11;SAR DAN POSKO BANJIR;Posko Peduli Banjir Radio Suara Metro FM 107,8 Mhz;527-3545
12;SAR DAN POSKO BANJIR;Posko Banjir & SAR HIPERPALA;7062-2359 / 08888-309184
13;SAR DAN POSKO BANJIR;Posko Banjir Komando Armada Barat;424-3000
14;SAR DAN POSKO BANJIR;TNI AL (MARINIR);426-3329
15;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Katulampa Bogor;0251-344240
16;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Pesanggrahan;0251-618151
17;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Angke Hulu;0816-1488-940
18;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Cipinang Hulu;873-4784
19;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Sunter Hulu;845-93814
20;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Pulo Gadung;475-5155
21;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Sunter Utara;430-3691
22;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Sunter Selatan;0818-158445
23;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Depok;770-1484
24;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Manggarai;390-4004
25;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Karet;314-3427
26;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Krukut Hulu;9363-4117
27;POS PEMANTAU PINTU AIR;Pos Pemantau Pintu Air Pasar Ikan;692-4593
28;KANTOR KEPOLISIAN;POLDA METRO JAYA;110
29;KANTOR KEPOLISIAN;Penerangan POLDA;523-4000
30;KANTOR KEPOLISIAN;Direktorat Reskrim Umum;570-3037
31;KANTOR KEPOLISIAN;Direktorat Reskrim Khusus;523-4076
32;KANTOR KEPOLISIAN;Direktorat Intelkam;570-8007
33;KANTOR KEPOLISIAN;Direktorat Sabhara;523-4241
34;KANTOR KEPOLISIAN;Yan Mas Narkoba;525-0110 / 0817-999-6666
35;KANTOR KEPOLISIAN;Direktorat Pam Obvit;526-4073
36;KANTOR KEPOLISIAN;Direktorat Lalu Lintas;570-8013
37;KANTOR KEPOLISIAN;Piket Lantas;523-4244
38;KANTOR KEPOLISIAN;Patroli Jalan Raya (PJR);8570-4164
39;KANTOR KEPOLISIAN;Traffic Management Center (TMC);8299-444
40;KANTOR KEPOLISIAN;Yanmas SIM;544-6362
41;KANTOR KEPOLISIAN;Yanmas STNK;523-4246
42;KANTOR KEPOLISIAN;STNK Keliling;7088-3322
43;KANTOR KEPOLISIAN;Direktorat Samapta;841-3630
44;KANTOR KEPOLISIAN;Biro Logistik;570-8011
45;KANTOR KEPOLISIAN;Biro Personel;570-8017
46;KANTOR KEPOLISIAN;Biro Operasi;525-4251
47;KANTOR KEPOLISIAN;Biro Renbang;570-7998
48;KANTOR KEPOLISIAN;Biro Bina Mitra;570-7995
49;KANTOR KEPOLISIAN;Detasement Provost (Propam);570-8010
50;KANTOR KEPOLISIAN;Bidang Dokkes;570-8016
51;KANTOR KEPOLISIAN;Bidang Humas;522-0669
52;KANTOR KEPOLISIAN;Derek Polda;570-9250
53;KANTOR KEPOLISIAN;Piket Polda;523-4540
54;KANTOR KEPOLISIAN;Pelayanan Masyarakat;523-4555
55;KANTOR KEPOLISIAN;Lainnya;523-4313 / 523-4046
56;PEMADAM KEBAKARAN;Pemadam Kebakaran - Emergency;113
57;PEMADAM KEBAKARAN;Sudin Jakarta Pusat;634-4215
58;PEMADAM KEBAKARAN;Sudin Jakarta Utara;439-31063
59;PEMADAM KEBAKARAN;Sudin Jakarta Barat;568-2284
60;PEMADAM KEBAKARAN;Sudin Jakarta Selatan;769-4519
61;PEMADAM KEBAKARAN;Sudin Jakarta Timur;858-2150
62;PEMADAM KEBAKARAN;Sudin Kota Depok;772-12004
63;PEMADAM KEBAKARAN;Sudin Kota/Kabupaten Tangerang;558-2144
64;PEMADAM KEBAKARAN;Sudin Kota Bekasi;889-57805
65;PEMADAM KEBAKARAN;Sudin Kabupaten Bekasi;883-36732
66;PLN;PLN (Call Center);123
67;PLN;PLN Cabang Gambir;384-9301
68;PLN;PLN Cabang Kota;660-0121
69;PLN;PLN Cabang Kemayoran;720-1316
70;PLN;PLN Cabang Jatinegara;850-4428
71;PLN;PLN Cabang Tanjung Priok;651-0117
72;PLN;PLN Cabang Tangerang;552-6719
73;PLN;PLN Cabang Kramat Jati;809-3636
74;STASIUN KERETA API;Gambir;386-2361
75;STASIUN KERETA API;Jatinegara;819-2318
76;STASIUN KERETA API;Pasar Senen;421-0164
77;STASIUN KERETA API;Tanah Abang;384-0048
78;STASIUN KERETA API;Jakarta Kota;692-8515
79;STASIUN KERETA API;Manggarai;829-2458
80;STASIUN KERETA API;Tanjung Priok;439-31978
81;PALANG MERAH INDONESIA;PMI DKI Jakarta;390-9422
82;PALANG MERAH INDONESIA;PMI Jakarta Pusat;384-1474
83;PALANG MERAH INDONESIA;PMI Jakarta Utara;439-35630
84;PALANG MERAH INDONESIA;PMI Jakarta Timur;861-1832
85;PALANG MERAH INDONESIA;PMI Jakarta Selatan;798-0332
86;PALANG MERAH INDONESIA;PMI Jakarta Barat;560-0378
87;PALANG MERAH INDONESIA;PMI Kota Depok;875-0772
88;PALANG MERAH INDONESIA;PMI Kota Tangerang;553-1310
89;PALANG MERAH INDONESIA;PMI Kabupaten Tangerang;552-3582
90;PALANG MERAH INDONESIA;PMI Kota Bekasi;881-7243
91;PALANG MERAH INDONESIA;PMI Kabupaten Bekasi;884-1712
92;PALANG MERAH INDONESIA;PMI Unit Tranfusi Darah;390-6666
93;PERUSAHAAN DAERAH AIR MINUM;PDAM Wilayah Barat (Palyja);579-86555
94;PERUSAHAAN DAERAH AIR MINUM;PDAM Wilayah Timur (TPM);577-2010
95;PERUSAHAAN DAERAH AIR MINUM;PDAM Wilayah Depok (Cibinong);752-0897
96;PERUSAHAAN DAERAH AIR MINUM;PDAM Wilayah Tangerang;552-3338
97;PERUSAHAAN DAERAH AIR MINUM;PDAM Bekasi;884-1901
98;PENERANGAN JALAN UMUM;PJU Jakarta Timur;851-9252
99;PENERANGAN JALAN UMUM;PJU Jakarta Utara;430-8871
100;PENERANGAN JALAN UMUM;PJU Jakarta Barat;707-14611
101;PENERANGAN JALAN UMUM;PJU Jakarta Selatan;726-1984
102;PENERANGAN JALAN UMUM;PJU Jakarta Pusat;231-4444
103;TERMINAL BIS;Kampung Rambutan (Dalam Kota);840-0062
104;TERMINAL BIS;Kampung Rambutan (Antar Kota);840-0063
105;TERMINAL BIS;Pulo Gadung (Dalam Kota);489-7748
106;TERMINAL BIS;Pulo Gadung (Antar Kota);488-3742
107;TERMINAL BIS;Kalideres;544-5348
108;TERMINAL BIS;Lebak Bulus;750-9773
109;TERMINAL BIS;Rawamangun;489-7455
110;TERMINAL BIS;Cibinong;879-00894
111;TERMINAL BIS;Tangerang (Cikokol);557-61265
112;TERMINAL BIS;Bekasi;884-1901
113;RUMAH SAKIT;RS Cipto Mangunkusumo;391-8301
114;RUMAH SAKIT;RSPAD Gatot Subroto;344-1008
115;RUMAH SAKIT;RS MMC Kuningan;520-3435
116;RUMAH SAKIT;RS Harapan Kita Slipi;568-2424
117;RUMAH SAKIT;RS Pertamina Pusat;720-0290
118;RUMAH SAKIT;RS Medistra;521-0200
119;RUMAH SAKIT;RS Penyakit Infeksi Sulianti Saroso;640-1412
120;RUMAH SAKIT;RS Fatmawati;750-1524
121;RUMAH SAKIT;RS Pondok Indah;750-2322
122;RUMAH SAKIT;RS Puri Cinere;754-5488
